Date,Close/Last,Volume,Open,High,Low
11/26/2018,$261.43 ,12490330,$260.55 ,$266.25 ,$253.80 
11/23/2018,$258.82 ,5245123,$260.11 ,$265.50 ,$256.84 
11/21/2018,$262.13 ,11014290,$274.42 ,$275.34 ,$261.51 
11/20/2018,$266.98 ,16676540,$254.63 ,$276.34 ,$250.00 
11/19/2018,$270.60 ,12486920,$283.79 ,$285.09 ,$269.15 
11/16/2018,$286.21 ,9084589,$287.14 ,$291.72 ,$281.00 
11/15/2018,$290.06 ,9874546,$285.51 ,$292.50 ,$282.16 
11/14/2018,$286.73 ,16807390,$300.40 ,$301.84 ,$278.30 
11/13/2018,$294.40 ,12117170,$295.00 ,$303.55 ,$289.10 
11/12/2018,$294.07 ,10886490,$300.00 ,$302.49 ,$290.63 
11/9/2018,$303.47 ,13463170,$311.07 ,$312.98 ,$298.01 
11/8/2018,$317.92 ,11008020,$328.00 ,$332.05 ,$316.61 
11/7/2018,$327.50 ,13308030,$312.90 ,$328.56 ,$311.00 
11/6/2018,$310.84 ,9659785,$314.76 ,$320.22 ,$305.30 
11/5/2018,$315.44 ,10247430,$311.10 ,$317.53 ,$303.74 
11/2/2018,$309.10 ,13356130,$318.00 ,$321.88 ,$308.33 
11/1/2018,$317.38 ,15031690,$304.59 ,$318.45 ,$296.67 
10/31/2018,$301.78 ,20092970,$297.77 ,$311.50 ,$295.05 
10/30/2018,$285.81 ,23622680,$275.57 ,$290.53 ,$271.21 
10/29/2018,$284.84 ,21662320,$305.26 ,$307.89 ,$275.40 
10/26/2018,$299.83 ,19591690,$300.51 ,$313.99 ,$292.30 
10/25/2018,$312.87 ,13285040,$307.12 ,$319.94 ,$305.25 
10/24/2018,$301.83 ,18926130,$332.28 ,$333.00 ,$300.73 
10/23/2018,$333.16 ,14880870,$318.00 ,$336.58 ,$316.77 
10/22/2018,$329.54 ,17081350,$333.10 ,$335.80 ,$320.34 
10/19/2018,$332.67 ,16696220,$351.00 ,$355.80 ,$332.20 
10/18/2018,$346.71 ,18067760,$360.67 ,$362.20 ,$346.05 
10/17/2018,$364.70 ,32564190,$378.33 ,$380.00 ,$356.50 
10/16/2018,$346.40 ,19670560,$337.24 ,$347.95 ,$330.56 
10/15/2018,$333.13 ,11177510,$337.63 ,$339.21 ,$326.93 
10/12/2018,$339.56 ,14806860,$339.57 ,$341.30 ,$328.90 
10/11/2018,$321.10 ,16020690,$324.94 ,$334.20 ,$315.81 
10/10/2018,$325.89 ,17063660,$353.52 ,$355.15 ,$325.39 
10/9/2018,$355.71 ,8730976,$348.48 ,$358.72 ,$347.09 
10/8/2018,$349.10 ,12367510,$345.18 ,$352.95 ,$338.11 
10/5/2018,$351.35 ,13512410,$359.77 ,$363.50 ,$343.00 
10/4/2018,$363.65 ,9052362,$375.88 ,$375.92 ,$360.40 
10/3/2018,$377.05 ,5791686,$378.53 ,$380.93 ,$374.88 
10/2/2018,$377.14 ,8620881,$384.38 ,$386.80 ,$373.83 
10/1/2018,$381.43 ,8339887,$375.85 ,$386.11 ,$375.59 
9/28/2018,$374.13 ,7104066,$379.24 ,$380.80 ,$373.73 
9/27/2018,$380.71 ,7295123,$379.87 ,$383.20 ,$376.00 
9/26/2018,$377.88 ,13540220,$373.59 ,$382.00 ,$370.88 
9/25/2018,$369.43 ,6775710,$370.23 ,$371.34 ,$364.49 
9/24/2018,$369.61 ,9284561,$359.00 ,$373.64 ,$354.33 
9/21/2018,$361.19 ,11894650,$366.59 ,$372.22 ,$360.74 
9/20/2018,$365.36 ,6756310,$370.26 ,$370.26 ,$363.17 
9/19/2018,$366.96 ,11842150,$373.95 ,$377.61 ,$359.17 
9/18/2018,$367.65 ,10387420,$353.67 ,$368.15 ,$351.56 
9/17/2018,$350.35 ,7017306,$364.22 ,$367.33 ,$349.57 
9/14/2018,$364.56 ,4735893,$368.55 ,$371.09 ,$363.46 
9/13/2018,$368.15 ,8349938,$371.91 ,$374.09 ,$366.84 
9/12/2018,$369.95 ,10360140,$359.08 ,$370.43 ,$356.24 
9/11/2018,$355.93 ,6190391,$344.67 ,$356.15 ,$343.90 
9/10/2018,$348.41 ,5732200,$352.27 ,$352.50 ,$343.08 
9/7/2018,$348.68 ,9094700,$342.20 ,$355.75 ,$341.25 
9/6/2018,$346.46 ,13029930,$347.44 ,$356.00 ,$341.99 
9/5/2018,$341.18 ,13072940,$360.00 ,$363.39 ,$335.83 
9/4/2018,$363.60 ,7590605,$366.47 ,$368.88 ,$361.26 
8/31/2018,$367.68 ,7918045,$370.66 ,$376.00 ,$367.08 
8/30/2018,$370.98 ,10969500,$365.00 ,$376.81 ,$363.54 
8/29/2018,$368.04 ,8103592,$367.20 ,$369.86 ,$362.91 
8/28/2018,$368.49 ,9190409,$367.23 ,$369.99 ,$360.38 
8/27/2018,$364.58 ,17371910,$367.15 ,$374.49 ,$360.00 
8/24/2018,$358.82 ,14705630,$346.00 ,$359.15 ,$344.54 
8/23/2018,$339.17 ,11312170,$348.11 ,$350.08 ,$337.65 
8/22/2018,$344.44 ,8912548,$338.49 ,$346.21 ,$337.41 
8/21/2018,$338.02 ,14501880,$331.00 ,$341.50 ,$329.70 
8/20/2018,$327.73 ,13564480,$314.64 ,$331.60 ,$310.93 
8/17/2018,$316.78 ,10370280,$319.01 ,$324.37 ,$312.96 
8/16/2018,$322.44 ,6674219,$329.90 ,$331.17 ,$321.21 
8/15/2018,$326.40 ,11746500,$334.03 ,$335.50 ,$321.00 
8/14/2018,$337.49 ,5791723,$342.09 ,$342.41 ,$336.25 
8/13/2018,$341.31 ,6884455,$339.89 ,$347.19 ,$339.07 
8/10/2018,$345.87 ,4327581,$346.91 ,$349.10 ,$344.42 
8/9/2018,$349.36 ,4680889,$347.96 ,$352.44 ,$345.82 
8/8/2018,$347.61 ,5392715,$352.21 ,$352.29 ,$346.61 
8/7/2018,$351.83 ,7952555,$353.23 ,$357.31 ,$349.01 
8/6/2018,$350.92 ,8186587,$342.87 ,$351.98 ,$341.74 
8/3/2018,$343.09 ,8836308,$347.75 ,$347.86 ,$338.48 
8/2/2018,$344.50 ,7111670,$337.23 ,$345.00 ,$334.71 
8/1/2018,$338.38 ,7761986,$335.87 ,$344.41 ,$334.02 
7/31/2018,$337.45 ,14039440,$331.51 ,$342.50 ,$328.00 
7/30/2018,$334.96 ,18227810,$351.93 ,$352.03 ,$334.02 
7/27/2018,$355.21 ,8938523,$366.85 ,$367.00 ,$351.65 
7/26/2018,$363.09 ,6961506,$358.19 ,$365.54 ,$356.63 
7/25/2018,$362.87 ,8382441,$357.57 ,$363.28 ,$355.65 
7/24/2018,$357.32 ,12829360,$366.94 ,$367.40 ,$354.56 
7/23/2018,$362.66 ,11463490,$359.15 ,$363.90 ,$353.60 
7/20/2018,$361.05 ,15089420,$364.92 ,$370.50 ,$360.14 
7/19/2018,$364.23 ,16829630,$371.06 ,$375.75 ,$363.00 
7/18/2018,$375.13 ,21706840,$381.24 ,$383.13 ,$372.36 
7/17/2018,$379.48 ,58303640,$346.95 ,$385.00 ,$344.00 
7/16/2018,$400.48 ,22225460,$398.98 ,$403.36 ,$391.75 
7/13/2018,$395.80 ,15695110,$409.19 ,$410.00 ,$395.08 
7/12/2018,$413.50 ,12703940,$415.16 ,$416.79 ,$407.80 
7/11/2018,$418.65 ,9635060,$411.34 ,$419.77 ,$410.60 
7/10/2018,$415.63 ,9205902,$417.24 ,$419.44 ,$413.08 
7/9/2018,$418.97 ,11091340,$415.95 ,$419.12 ,$411.10 
7/6/2018,$408.25 ,8568382,$397.45 ,$408.65 ,$395.52 
7/5/2018,$398.39 ,8418116,$393.80 ,$399.24 ,$390.86 
7/3/2018,$390.52 ,5280344,$399.49 ,$399.98 ,$389.50 
7/2/2018,$398.18 ,8125655,$385.45 ,$398.38 ,$380.00 
6/29/2018,$391.43 ,9228678,$399.19 ,$401.33 ,$390.55 
6/28/2018,$395.42 ,12202630,$395.00 ,$396.90 ,$387.10 
6/27/2018,$390.39 ,16495200,$407.56 ,$411.59 ,$390.00 
6/26/2018,$399.39 ,15165630,$393.28 ,$404.78 ,$389.05 
6/25/2018,$384.48 ,22458240,$404.69 ,$405.99 ,$378.75 
6/22/2018,$411.09 ,10410580,$419.98 ,$420.50 ,$409.65 
6/21/2018,$415.44 ,18048570,$421.38 ,$423.21 ,$406.37 
6/20/2018,$416.76 ,16453370,$415.15 ,$419.47 ,$409.60 
6/19/2018,$404.98 ,16673810,$389.50 ,$405.29 ,$388.50 
6/18/2018,$390.40 ,6800984,$387.72 ,$393.16 ,$386.50 
